"MEG_ID"	"Broadclass"	"Class"	"Mechanism"	"Gene"
"49"	"MEG_3610"	"Drugs"	"MLS"	"Lincosamide_nucleotidyltransferases"	"LNUC"
"50"	"MEG_7248"	"Drugs"	"Tetracyclines"	"Tetracycline_resistance_MFS_efflux_pumps"	"TETZ"
"51"	"MEG_400"	"Multi-compound"	"Drug_and_biocide_resistance"	"Drug_and_biocide_RND_efflux_pumps"	"ACRA"
"52"	"MEG_3896"	"Metals"	"Mercury_resistance"	"Mercury_resistance_protein"	"MERT"
"53"	"MEG_5309"	"Drugs"	"betalactams"	"Class_A_betalactamases"	"OXY"
"54"	"MEG_4817"	"Drugs"	"betalactams"	"Class_D_betalactamases"	"OXA"
"55"	"MEG_517"	"Drugs"	"betalactams"	"Class_C_betalactamases"	"ADC"
"56"	"MEG_4206"	"Multi-compound"	"Drug_and_biocide_resistance"	"Drug_and_biocide_MFS_efflux_pumps"	"NORA"
"57"	"MEG_6615"	"Drugs"	"Sulfonamides"	"Sulfonamide-resistant_dihydropteroate_synthases"	"SULI"
"58"	"MEG_2892"	"Metals"	"Multi-metal_resistance"	"Multi-metal_ABC_efflux_pumps"	"FBPC"
"59"	"MEG_6992"	"Drugs"	"Tetracyclines"	"Tetracycline_resistance_ribosomal_protection_proteins"	"TET40"
"60"	"MEG_5385"	"Drugs"	"Aminocoumarins"	"Aminocoumarin-resistant_DNA_topoisomerases"	"PARE|RequiresSNPConfirmation"
"61"	"MEG_759"	"Drugs"	"Aminoglycosides"	"Aminoglycoside_O-nucleotidyltransferases"	"ANT3-DPRIME"
"62"	"MEG_2704"	"Multi-compound"	"Drug_and_biocide_resistance"	"Drug_and_biocide_MFS_efflux_pumps"	"EFMA"
"63"	"MEG_2932"	"Drugs"	"Aminoglycosides"	"16S_rRNA_methyltransferases"	"FMRO"
"64"	"MEG_1172"	"Metals"	"Arsenic_resistance"	"Arsenic_resistance_regulator"	"ARSR"
"65"	"MEG_3894"	"Metals"	"Mercury_resistance"	"Mercury_resistance_protein"	"MERT"
"66"	"MEG_6125"	"Drugs"	"Rifampin"	"Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB"	"RPOB|RequiresSNPConfirmation"
"67"	"MEG_7832"	"Metals"	"Multi-metal_resistance"	"Multi-metal_resistance_protein"	"YGJH"
"68"	"MEG_2900"	"Multi-compound"	"Biocide_and_metal_resistance"	"Biocide_and_metal_ABC_efflux_pumps"	"FETB"
"69"	"MEG_5812"	"Drugs"	"betalactams"	"Class_B_betalactamases"	"PST"
"70"	"MEG_5855"	"Multi-compound"	"Drug_and_biocide_resistance"	"Drug_and_biocide_SMR_efflux_pumps"	"QACPB"
"71"	"MEG_4571"	"Drugs"	"betalactams"	"Class_D_betalactamases"	"OXA"
"72"	"MEG_388"	"Drugs"	"betalactams"	"Class_C_betalactamases"	"ACC"
"73"	"MEG_7434"	"Drugs"	"Glycopeptides"	"VanD-type_resistance_protein"	"VANHD"
"74"	"MEG_6470"	"Drugs"	"betalactams"	"Class_A_betalactamases"	"SHV"
"75"	"MEG_2005"	"Metals"	"Multi-metal_resistance"	"Multi-metal_resistance_protein"	"CNRA"
"76"	"MEG_781"	"Drugs"	"Aminoglycosides"	"Aminoglycoside_O-nucleotidyltransferases"	"ANT3-DPRIME"
"77"	"MEG_3556"	"Drugs"	"betalactams"	"Class_A_betalactamases"	"LEN"
"78"	"MEG_2481"	"Drugs"	"betalactams"	"Class_A_betalactamases"	"DES"
"79"	"MEG_6157"	"Drugs"	"Nucleosides"	"Streptothricin_acetyltransferase"	"SAT"
"80"	"MEG_6174"	"Multi-compound"	"Drug_and_biocide_resistance"	"Drug_and_biocide_RND_efflux_pumps"	"SDEX"
"81"	"MEG_3680"	"Drugs"	"Lipopeptides"	"Colistin_phosphoethanolamine_transferase"	"MCR"
"82"	"MEG_7518"	"Drugs"	"Glycopeptides"	"VanM-type_regulator"	"VANSM"
"83"	"MEG_5759"	"Drugs"	"betalactams"	"Class_A_betalactamases"	"PER"
"84"	"MEG_3131"	"Drugs"	"betalactams"	"Class_A_betalactamases"	"GES"
"85"	"MEG_3311"	"Drugs"	"betalactams"	"Class_A_betalactamases"	"IMI"
"86"	"MEG_648"	"Drugs"	"betalactams"	"Class_C_betalactamases"	"ADC"
"87"	"MEG_634"	"Drugs"	"betalactams"	"Class_C_betalactamases"	"ADC"
"88"	"MEG_2482"	"Drugs"	"Trimethoprim"	"Dihydrofolate_reductase"	"DFRA"
"89"	"MEG_2995"	"Drugs"	"Fosfomycin"	"Fosfomycin_thiol_transferases"	"FOSA"
"90"	"MEG_6867"	"Drugs"	"betalactams"	"Class_A_betalactamases"	"TEM"
"91"	"MEG_766"	"Drugs"	"Aminoglycosides"	"Aminoglycoside_O-nucleotidyltransferases"	"ANT3-DPRIME"
"92"	"MEG_4130"	"Drugs"	"Mycobacterium_tuberculosis-specific_Drug"	"Isoniazid-resistant_mutant"	"NDH|RequiresSNPConfirmation"
"93"	"MEG_1571"	"Drugs"	"Phenicol"	"Chloramphenicol_acetyltransferases"	"CATA"
"94"	"MEG_3329"	"Drugs"	"betalactams"	"Class_B_betalactamases"	"IMP"
"95"	"MEG_4220"	"Metals"	"Nickel_resistance"	"Nickel_resistance_regulator"	"NRSR"
"96"	"MEG_1718"	"Drugs"	"betalactams"	"Class_A_betalactamases"	"CIA"
"97"	"MEG_7410"	"Drugs"	"Glycopeptides"	"VanA-type_resistance_protein"	"VANHA"
"98"	"MEG_248"	"Drugs"	"Aminoglycosides"	"Aminoglycoside_N-acetyltransferases"	"AAC6-PRIME"
"99"	"MEG_260"	"Drugs"	"Aminoglycosides"	"Aminoglycoside_N-acetyltransferases"	"AAC6-PRIME"
"100"	"MEG_4539"	"Drugs"	"betalactams"	"Class_D_betalactamases"	"OXA"
"101"	"MEG_4628"	"Drugs"	"betalactams"	"Class_D_betalactamases"	"OXA"
"102"	"MEG_6587"	"Drugs"	"Sulfonamides"	"Sulfonamide-resistant_dihydropteroate_synthases"	"SULI"
"103"	"MEG_1581"	"Drugs"	"Phenicol"	"Chloramphenicol_acetyltransferases"	"CATA"
"104"	"MEG_6060"	"Drugs"	"Aminoglycosides"	"16S_rRNA_methyltransferases"	"RMTA"
"105"	"MEG_7254"	"Drugs"	"betalactams"	"Class_A_betalactamases"	"TLA"
"106"	"MEG_738"	"Drugs"	"Aminoglycosides"	"Aminoglycoside_O-nucleotidyltransferases"	"ANT2-DPRIME"
"107"	"MEG_2744"	"Drugs"	"MLS"	"Macrolide_esterases"	"EREA"
"108"	"MEG_5751"	"Drugs"	"betalactams"	"Class_A_betalactamases"	"PENA"
"109"	"MEG_5412"	"Metals"	"Lead_resistance"	"Lead_P-type_ATPase_transporter"	"PBRD"
"110"	"MEG_1026"	"Drugs"	"Aminoglycosides"	"Aminoglycoside_O-phosphotransferases"	"APH3-DPRIME"
"111"	"MEG_5367"	"Drugs"	"Aminocoumarins"	"Aminocoumarin-resistant_DNA_topoisomerases"	"PARE|RequiresSNPConfirmation"
"112"	"MEG_2058"	"Metals"	"Copper_resistance"	"Copper_resistance_protein"	"COPG"
"113"	"MEG_4518"	"Drugs"	"betalactams"	"Class_D_betalactamases"	"OXA"
"114"	"MEG_5594"	"Drugs"	"betalactams"	"Class_C_betalactamases"	"PDC"
"115"	"MEG_172"	"Drugs"	"Aminoglycosides"	"Aminoglycoside_N-acetyltransferases"	"AAC6-PRIME"
"116"	"MEG_7827"	"Metals"	"Multi-metal_resistance"	"Multi-metal_resistance_protein"	"YFED"
"117"	"MEG_4956"	"Drugs"	"betalactams"	"Class_D_betalactamases"	"OXA"
"118"	"MEG_150"	"Drugs"	"Aminoglycosides"	"Aminoglycoside_N-acetyltransferases"	"AAC6-PRIME"
"119"	"MEG_913"	"Drugs"	"Aminoglycosides"	"Aminoglycoside_O-nucleotidyltransferases"	"ANT3-DPRIME"
"120"	"MEG_4522"	"Drugs"	"betalactams"	"Class_D_betalactamases"	"OXA"
"121"	"MEG_1549"	"Drugs"	"Phenicol"	"Chloramphenicol_acetyltransferases"	"CAT"
"122"	"MEG_5769"	"Drugs"	"betalactams"	"Class_A_betalactamases"	"PER"
"123"	"MEG_2775"	"Drugs"	"MLS"	"23S_rRNA_methyltransferases"	"ERM32"
"124"	"MEG_1656"	"Drugs"	"betalactams"	"Class_C_betalactamases"	"CFE"
"125"	"MEG_4021"	"Drugs"	"betalactams"	"Class_C_betalactamases"	"MOX"
"126"	"MEG_4973"	"Drugs"	"betalactams"	"Class_D_betalactamases"	"OXA"
"127"	"MEG_2029"	"Metals"	"Copper_resistance"	"Copper_resistance_protein"	"COPA"
"128"	"MEG_734"	"Drugs"	"betalactams"	"Class_B_betalactamases"	"ANA"
"129"	"MEG_2828"	"Drugs"	"MLS"	"23S_rRNA_methyltransferases"	"ERMF"
"130"	"MEG_7426"	"Drugs"	"Glycopeptides"	"VanD-type_resistance_protein"	"VANHD"
"131"	"MEG_542"	"Drugs"	"betalactams"	"Class_C_betalactamases"	"ADC"
"132"	"MEG_2767"	"Drugs"	"MLS"	"23S_rRNA_methyltransferases"	"ERM"
"133"	"MEG_2502"	"Drugs"	"Trimethoprim"	"Dihydrofolate_reductase"	"DFRA"
"134"	"MEG_3203"	"Drugs"	"Fluoroquinolones"	"Fluoroquinolone-resistant_DNA_topoisomerases"	"GYRA|RequiresSNPConfirmation"
"135"	"MEG_415"	"Multi-compound"	"Drug_and_biocide_resistance"	"Drug_and_biocide_RND_efflux_regulator"	"ACRS"
"136"	"MEG_4202"	"Drugs"	"betalactams"	"Class_A_betalactamases"	"NMCA"
"137"	"MEG_3761"	"Multi-compound"	"Drug_and_biocide_resistance"	"Drug_and_biocide_MFS_efflux_pumps"	"MDTM"
"138"	"MEG_3207"	"Drugs"	"Fluoroquinolones"	"Fluoroquinolone-resistant_DNA_topoisomerases"	"GYRA|RequiresSNPConfirmation"
"139"	"MEG_6117"	"Drugs"	"Rifampin"	"Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB"	"RPOB|RequiresSNPConfirmation"
"140"	"MEG_7385"	"Drugs"	"Glycopeptides"	"VanD-type_resistance_protein"	"VAND"
"141"	"MEG_4607"	"Drugs"	"betalactams"	"Class_D_betalactamases"	"OXA"
"142"	"MEG_1139"	"Metals"	"Arsenic_resistance"	"Arsenic_resistance_protein"	"ARRA"
"143"	"MEG_3804"	"Drugs"	"betalactams"	"Penicillin_binding_protein_regulator"	"MECI"
"144"	"MEG_2646"	"Drugs"	"Trimethoprim"	"Dihydrofolate_reductase"	"DHFR|RequiresSNPConfirmation"
"145"	"MEG_3294"	"Multi-compound"	"Biocide_and_metal_resistance"	"Biocide_and_metal_resistance_protein"	"IDER"
"146"	"MEG_6302"	"Drugs"	"betalactams"	"Class_A_betalactamases"	"SHV"
"147"	"MEG_3304"	"Drugs"	"betalactams"	"Class_A_betalactamases"	"IMI"
"148"	"MEG_4318"	"Drugs"	"Multi-drug_resistance"	"Multi-drug_ABC_efflux_pumps"	"OPTRA"
"149"	"MEG_4508"	"Drugs"	"betalactams"	"Class_D_betalactamases"	"OXA"
"150"	"MEG_7251"	"Drugs"	"betalactams"	"Class_A_betalactamases"	"TLA"
"151"	"MEG_519"	"Drugs"	"betalactams"	"Class_C_betalactamases"	"ADC"
"152"	"MEG_4768"	"Drugs"	"betalactams"	"Class_D_betalactamases"	"OXA"
"153"	"MEG_1520"	"Drugs"	"betalactams"	"Class_A_betalactamases"	"CARB"
"154"	"MEG_7800"	"Biocides"	"Multi-biocide_resistance"	"Multi-biocide_RND_efflux_pump"	"VMEY"
"155"	"MEG_7433"	"Drugs"	"Glycopeptides"	"VanD-type_resistance_protein"	"VANHD"
"156"	"MEG_2840"	"Drugs"	"MLS"	"23S_rRNA_methyltransferases"	"ERMO"
"157"	"MEG_7326"	"Drugs"	"betalactams"	"Class_B_betalactamases"	"TUS"
"158"	"MEG_7482"	"Drugs"	"Glycopeptides"	"VanL-type_regulator"	"VANRI"
"159"	"MEG_370"	"Drugs"	"Fosfomycin"	"Fosfomycin_MFS_efflux_pump"	"ABAQ"
"160"	"MEG_6998"	"Drugs"	"Tetracyclines"	"Tetracycline_resistance_ribosomal_protection_proteins"	"TET44"
"161"	"MEG_5327"	"Drugs"	"Fluoroquinolones"	"Fluoroquinolone-resistant_DNA_topoisomerases"	"PARC|RequiresSNPConfirmation"
"162"	"MEG_6067"	"Drugs"	"Aminoglycosides"	"16S_rRNA_methyltransferases"	"RMTD"
"163"	"MEG_1715"	"Metals"	"Chromium_resistance"	"Chromium_resistance_regulator"	"CHRF"
"164"	"MEG_2471"	"Metals"	"Multi-metal_resistance"	"Multi-metal_RND_efflux_pumps"	"CZCP"
"165"	"MEG_7106"	"Drugs"	"Tetracyclines"	"Tetracycline_resistance_ribosomal_protection_proteins"	"TETM"
"166"	"MEG_7604"	"Drugs"	"Glycopeptides"	"VanD-type_accessory_protein"	"VANYD"
"167"	"MEG_6141"	"Biocides"	"Multi-biocide_resistance"	"Multi-biocide_resistance_regulator"	"RPOS"
"168"	"MEG_3006"	"Drugs"	"Fosfomycin"	"Fosfomycin_thiol_transferases"	"FOSB"
"169"	"MEG_4087"	"Multi-compound"	"Drug_and_biocide_resistance"	"Drug_and_biocide_MFS_efflux_regulator"	"MTRR|RequiresSNPConfirmation"
"170"	"MEG_5825"	"Multi-compound"	"Drug_and_biocide_resistance"	"Drug_and_biocide_SMR_efflux_pumps"	"QACC"
"171"	"MEG_7689"	"Drugs"	"Multi-drug_resistance"	"Multi-drug_ABC_efflux_pumps"	"VGAD"
"172"	"MEG_1016"	"Drugs"	"Aminoglycosides"	"Aminoglycoside_O-phosphotransferases"	"APH2-DPRIME"
"173"	"MEG_6644"	"Drugs"	"Multi-drug_resistance"	"Multi-drug_MFS_efflux_pumps"	"TAP"
"174"	"MEG_2714"	"Biocides"	"Quaternary_Ammonium_Compounds_(QACs)_resistance"	"QAC_efflux_pump"	"EMEA"
"175"	"MEG_924"	"Drugs"	"Aminoglycosides"	"Aminoglycoside_O-nucleotidyltransferases"	"ANT3-DPRIME"
"176"	"MEG_4166"	"Metals"	"Multi-metal_resistance"	"Multi-metal_resistance_protein"	"NIA"
"177"	"MEG_1027"	"Drugs"	"Aminoglycosides"	"Aminoglycoside_O-phosphotransferases"	"APH3-DPRIME"
"178"	"MEG_834"	"Drugs"	"Aminoglycosides"	"Aminoglycoside_O-nucleotidyltransferases"	"ANT3-DPRIME"
"179"	"MEG_1168"	"Biocides"	"Naphthoquinone"	"Naphthoquinone_resistance_protein"	"ARSHN"
"180"	"MEG_4669"	"Drugs"	"betalactams"	"Class_D_betalactamases"	"OXA"
"181"	"MEG_6451"	"Drugs"	"betalactams"	"Class_A_betalactamases"	"SHV"
"182"	"MEG_441"	"Drugs"	"betalactams"	"Class_C_betalactamases"	"ACT"
"183"	"MEG_6132"	"Drugs"	"Rifampin"	"Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB"	"RPOB|RequiresSNPConfirmation"
"184"	"MEG_4313"	"Drugs"	"Multi-drug_resistance"	"Multi-drug_ABC_efflux_pumps"	"OPTRA"
"185"	"MEG_6961"	"Metals"	"Tellurium_resistance"	"Tellurium_resistance_protein"	"TERZ"
"186"	"MEG_485"	"Drugs"	"betalactams"	"Class_C_betalactamases"	"ACT"
"187"	"MEG_2238"	"Drugs"	"betalactams"	"Class_A_betalactamases"	"CTX"
"188"	"MEG_2931"	"Drugs"	"Phenicol"	"Phenicol_resistance_MFS_efflux_pumps"	"FLOR"
"189"	"MEG_3851"	"Metals"	"Mercury_resistance"	"Mercury_resistance_protein"	"MERB"
"190"	"MEG_107"	"Drugs"	"Aminoglycosides"	"Aminoglycoside_N-acetyltransferases"	"AAC6-PRIME"
"191"	"MEG_2635"	"Drugs"	"Trimethoprim"	"Dihydrofolate_reductase"	"DHFR|RequiresSNPConfirmation"
"192"	"MEG_2548"	"Drugs"	"Trimethoprim"	"Dihydrofolate_reductase"	"DFRA"
"193"	"MEG_3236"	"Drugs"	"Fluoroquinolones"	"Fluoroquinolone-resistant_DNA_topoisomerases"	"GYRA|RequiresSNPConfirmation"
"194"	"MEG_7101"	"Drugs"	"Tetracyclines"	"Tetracycline_resistance_MFS_efflux_pumps"	"TETL"
"195"	"MEG_2138"	"Drugs"	"betalactams"	"Class_A_betalactamases"	"CSP"
"196"	"MEG_7001"	"Drugs"	"Tetracyclines"	"Tetracycline_resistance_MFS_efflux_pumps"	"TET48"
"197"	"MEG_2734"	"Multi-compound"	"Drug_and_biocide_resistance"	"Drug_and_biocide_MFS_efflux_regulator"	"EMRR"
"198"	"MEG_3793"	"Drugs"	"betalactams"	"Penicillin_binding_protein"	"MECA"
"199"	"MEG_7064"	"Drugs"	"Tetracyclines"	"Tetracycline_resistance_MFS_efflux_pumps"	"TETC"
"200"	"MEG_5762"	"Drugs"	"betalactams"	"Class_A_betalactamases"	"PER"
"201"	"MEG_544"	"Drugs"	"betalactams"	"Class_C_betalactamases"	"ADC"
"202"	"MEG_3825"	"Drugs"	"MLS"	"MLS_resistance_MFS_efflux_pumps"	"MEFA"
"203"	"MEG_3532"	"Drugs"	"betalactams"	"Class_B_betalactamases"	"L1"
"204"	"MEG_7598"	"Drugs"	"Glycopeptides"	"VanD-type_accessory_protein"	"VANYB"
"205"	"MEG_3530"	"Drugs"	"betalactams"	"Class_B_betalactamases"	"L1"
"206"	"MEG_4052"	"Drugs"	"MLS"	"Macrolide_phosphotransferases"	"MPHO"
"207"	"MEG_847"	"Drugs"	"Aminoglycosides"	"Aminoglycoside_O-nucleotidyltransferases"	"ANT3-DPRIME"
"208"	"MEG_6142"	"Drugs"	"Mycobacterium_tuberculosis-specific_Drug"	"Pyrazinamide-resistant_mutant"	"RPSA|RequiresSNPConfirmation"
"209"	"MEG_3085"	"Drugs"	"betalactams"	"Class_A_betalactamases"	"GES"
"210"	"MEG_4545"	"Drugs"	"betalactams"	"Class_D_betalactamases"	"OXA"
"211"	"MEG_6549"	"Biocides"	"Multi-biocide_resistance"	"Multi-biocide_resistance_regulator"	"SOXRB"
"212"	"MEG_4448"	"Drugs"	"betalactams"	"Class_D_betalactamases"	"OXA"
"213"	"MEG_2858"	"Drugs"	"MLS"	"23S_rRNA_methyltransferases"	"ERMX"
"214"	"MEG_43"	"Drugs"	"Aminoglycosides"	"Aminoglycoside_N-acetyltransferases"	"AAC3"
"215"	"MEG_1065"	"Drugs"	"Aminoglycosides"	"Aminoglycoside_O-phosphotransferases"	"APH3-PRIME"
"216"	"MEG_4618"	"Drugs"	"betalactams"	"Class_D_betalactamases"	"OXA"
"217"	"MEG_6095"	"Drugs"	"Rifampin"	"Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB"	"RPOB|RequiresSNPConfirmation"
"218"	"MEG_4162"	"Metals"	"Sodium_resistance"	"Sodium_resistance_protein"	"NHAA"
"219"	"MEG_1606"	"Drugs"	"Phenicol"	"Chloramphenicol_acetyltransferases"	"CATB|RequiresSNPConfirmation"
"220"	"MEG_4305"	"Drugs"	"Multi-drug_resistance"	"Multi-drug_ABC_efflux_pumps"	"OPTRA"
"221"	"MEG_3675"	"Drugs"	"Lipopeptides"	"Colistin_phosphoethanolamine_transferase"	"MCR"
"222"	"MEG_3812"	"Drugs"	"MLS"	"MLS_resistance_MFS_efflux_pumps"	"MEFA"
"223"	"MEG_3928"	"Multi-compound"	"Drug_and_biocide_resistance"	"Drug_and_biocide_RND_efflux_regulator"	"MEXR"
"224"	"MEG_3814"	"Drugs"	"MLS"	"MLS_resistance_MFS_efflux_pumps"	"MEFA"
"225"	"MEG_895"	"Drugs"	"Aminoglycosides"	"Aminoglycoside_O-nucleotidyltransferases"	"ANT3-DPRIME"
"226"	"MEG_776"	"Drugs"	"Aminoglycosides"	"Aminoglycoside_O-nucleotidyltransferases"	"ANT3-DPRIME"
"227"	"MEG_7636"	"Drugs"	"betalactams"	"Class_A_betalactamases"	"VCC"
"228"	"MEG_2033"	"Metals"	"Multi-metal_resistance"	"Multi-metal_resistance_protein"	"COPAM"
"229"	"MEG_3278"	"Metals"	"Copper_resistance"	"Copper_resistance_protein"	"HPCOPP"
"230"	"MEG_4209"	"Multi-compound"	"Drug_and_biocide_resistance"	"Drug_and_biocide_MFS_efflux_pumps"	"NORA"
"231"	"MEG_483"	"Drugs"	"betalactams"	"Class_C_betalactamases"	"ACT"
"232"	"MEG_5388"	"Drugs"	"Aminocoumarins"	"Aminocoumarin-resistant_DNA_topoisomerases"	"PARE|RequiresSNPConfirmation"
"233"	"MEG_3881"	"Metals"	"Mercury_resistance"	"Mercury_resistance_regulator"	"MERR"
"234"	"MEG_7408"	"Drugs"	"Glycopeptides"	"VanA-type_resistance_protein"	"VANHA"
"235"	"MEG_57"	"Drugs"	"Aminoglycosides"	"Aminoglycoside_N-acetyltransferases"	"AAC3"
"236"	"MEG_717"	"Metals"	"Arsenic_resistance"	"Arsenite_oxidase_regulator"	"AIOX"
"237"	"MEG_5151"	"Drugs"	"betalactams"	"Class_D_betalactamases"	"OXA"
"238"	"MEG_1548"	"Drugs"	"Phenicol"	"Chloramphenicol_acetyltransferases"	"CAT"
"239"	"MEG_7611"	"Drugs"	"Glycopeptides"	"VanF-type_accessory_protein"	"VANYF"
"240"	"MEG_6913"	"Drugs"	"betalactams"	"Class_A_betalactamases"	"TEM"
"241"	"MEG_2081"	"Metals"	"Copper_resistance"	"Copper_resistance_regulator"	"COPZ"
"242"	"MEG_2394"	"Drugs"	"betalactams"	"Class_A_betalactamases"	"CTX"
"243"	"MEG_811"	"Drugs"	"Aminoglycosides"	"Aminoglycoside_O-nucleotidyltransferases"	"ANT3-DPRIME"
"244"	"MEG_1051"	"Drugs"	"Aminoglycosides"	"Aminoglycoside_O-phosphotransferases"	"APH3-DPRIME"
"245"	"MEG_2886"	"Multi-compound"	"Drug_and_biocide_resistance"	"Drug_and_biocide_MFS_efflux_pumps"	"FARB"
"246"	"MEG_2916"	"Drugs"	"Phenicol"	"Phenicol_resistance_MFS_efflux_pumps"	"FLOR"
